Internship ID,Title,Company,Domain,Required Skills,Location,Stipend (INR),Description,Duration,Work Type
INT001,Finance Intern,LG Electronics,Financial Services,"Redis, TensorFlow, VHDL",Bangalore,18000,Analyze business requirements and create technical specifications.,18,Remote
INT002,Data Engineer Intern,Wipro,Software Development,"AI, Microsoft Azure",Hyderabad,15000,End-to-end development of features using MERN stack.,30,Remote
INT003,ML Intern,Infosys,Database Management,"Ethical Hacking, Excel, Linux, Redis, STAAD.Pro",Ahmedabad,12000,Optimize frontend performance and accessibility.,22,Hybrid
INT004,Quality Analyst Intern,Qualcomm India,Fintech,"IoT, Node.js",Noida,12000,Optimize frontend performance and accessibility.,4,On-site
INT006,Machine Learning Intern,Sharechat,DevOps,"Bash, Financial Modeling, Linux",Ahmedabad,8000,Work on exciting data projects and build ML models.,8,On-site
INT007,Business Analyst Intern,Hashedin,Business Analysis,"Keras, Linux, React",Delhi,5000,Collaborate with cross-functional teams on product features.,24,On-site
INT008,AI Research Intern,Qualcomm India,Business Analysis,"Apache Hive, Circuit Design, Ethereum, Kubernetes, Machine Learning",Remote,5000,Implement machine learning models in production.,28,Remote
INT009,DevOps Engineer Intern,EY,Mobile Development,"ANSYS, Data Visualization, Deep Learning, Django, Express JS",Other City,10000,Work on big data processing and analytics pipelines.,4,Hybrid
INT010,Database Administrator Intern,Cognizant,Web Development,"Bloomberg Terminal, CSS, Cybersecurity, GitHub, Linux, Microsoft Azure",Bangalore,5000,Work with cutting-edge AI technologies and research.,14,Remote
INT011,Computer Vision Intern,Zoho Corporation,Data Science,"C++, Embedded Systems, MongoDB, Node.js, React, Tableau",Other City,12000,Research and implement new technologies and frameworks.,4,Remote
INT012,Full Stack Engineer Intern,KPMG,Cloud Computing,"AI, Jenkins, MATLAB, MySQL",Other City,8000,Develop scalable web applications and RESTful APIs.,6,Hybrid
INT013,Marketing Intern,Qualcomm India,Analytics,"Apache Hive, Apache Spark, Data Visualization, Embedded Systems, Redis",Other City,12000,Test software applications and report defects.,28,Hybrid
INT017,Network Engineer Intern,MakeMyTrip,Data Science,"ANSYS, Cyber Security, Spring Boot",Other City,18000,Research and implement new technologies and frameworks.,28,Remote
INT018,Test Engineer Intern,EY,Finance,"Java, NLP, ROS, Simulink",Chennai,18000,Assist in cloud infrastructure setup and maintenance.,16,Hybrid
INT021,Network Engineer Intern,Dunzo,Quality Assurance,"Data Engineering, DevOps, Excel, Flask, Power BI, React",Kolkata,15000,Test software applications and report defects.,6,Remote
INT022,Full Stack Engineer Intern,Microsoft India,Product Management,"Bash, C++, IoT, MongoDB, Node JS, React",Pune,8000,Development of scalable web applications and bug fixing.,12,On-site
