student_id,internship_id,applied,got_offer,skill_overlap_ratio,weighted_skill_match,num_matching_skills,total_required_skills,has_high_value_combination,num_high_value_skills,student_cgpa,student_tier,student_region,student_branch,internship_domain,stipend_score,internship_duration_weeks,duration_score,internship_work_type,location_match,domain_match,branch_match,rural_student_on_site_penalty
S001,INT010,1,1,0.067,0.0,0,6,0,0,8.71,Tier-2,Rural,Biotechnology,Web Development,0.2,14,0.467,Remote,0.4,0,0.1,0
S001,INT085,0,0,0.0,0.0,0,4,0,0,8.71,Tier-2,Rural,Biotechnology,Web Development,0.8,8,0.267,On-site,0.4,0,0.1,1
S001,INT011,1,1,0.133,0.0,0,6,0,0,8.71,Tier-2,Rural,Biotechnology,Data Science,0.48,4,0.133,Remote,0.4,0,0.0,0
S001,INT031,0,0,0.267,0.0,0,3,0,0,8.71,Tier-2,Rural,Biotechnology,Data Science & Analytics,0.6,12,0.4,Hybrid,0.4,0,0.66,0
S001,INT035,1,1,0.467,0.333,1,3,0,0,8.71,Tier-2,Rural,Biotechnology,Cybersecurity,0.48,18,0.6,On-site,0.4,0,0.0,1
S001,INT043,0,0,0.2,0.0,0,2,0,0,8.71,Tier-2,Rural,Biotechnology,Product Management,0.32,6,0.2,On-site,0.4,0,0.0,1
S001,INT060,1,0,0.133,0.0,0,3,0,0,8.71,Tier-2,Rural,Biotechnology,Software Development,0.48,12,0.4,Remote,0.4,0,0.0,0
S001,INT068,1,1,0.16,0.0,0,5,0,0,8.71,Tier-2,Rural,Biotechnology,Artificial Intelligence,0.4,8,0.267,Hybrid,0.4,0,0.5,0
S001,INT070,1,0,0.133,0.0,0,6,0,0,8.71,Tier-2,Rural,Biotechnology,Software Engineering,0.4,14,0.467,On-site,0.4,0,0.0,1
S001,INT074,0,0,0.24,0.0,0,5,0,0,8.71,Tier-2,Rural,Biotechnology,Testing,0.2,10,0.333,On-site,0.4,0,0.0,1
S001,INT075,0,0,0.16,0.0,0,5,0,0,8.71,Tier-2,Rural,Biotechnology,Mobile Development,0.72,20,0.667,Hybrid,1.0,0,0.08,0
S001,INT080,0,0,0.5,0.5,1,2,0,0,8.71,Tier-2,Rural,Biotechnology,AI,0.72,22,0.733,Hybrid,0.4,0,0.0,0
S001,INT081,0,0,0.28,0.2,1,5,0,0,8.71,Tier-2,Rural,Biotechnology,Finance,0.72,14,0.467,Remote,0.4,0,0.14,0
S001,INT094,0,0,0.267,0.0,0,3,0,0,8.71,Tier-2,Rural,Biotechnology,Business Analysis,0.6,16,0.533,Remote,0.4,0,0.0,0
S001,INT125,1,1,0.28,0.2,1,5,0,0,8.71,Tier-2,Rural,Biotechnology,Financial Services,0.4,22,0.733,Remote,0.4,0,0.0,0
S001,INT136,1,1,0.2,0.0,0,4,0,0,8.71,Tier-2,Rural,Biotechnology,Testing,0.4,24,0.8,On-site,1.0,0,0.0,1
S001,INT139,1,1,0.28,0.2,1,5,0,0,8.71,Tier-2,Rural,Biotechnology,Design,0.72,12,0.4,Hybrid,0.4,0,0.0,0
