Student ID,Branch,CGPA,Skills,Interests,Location,College Tier,Region
S001,Biotechnology,8.71,"Node.js, Flask, FastAPI, CV",Web Development,New Delhi,Tier2,rural
S002,civil engineering,7.81,"computer vision,statistical analysis,github,matlab,Google Cloud,Apache Kafka,PROJECT MANAGEMENT,financial modeling",product management,new delhi,Tier 1,Semi-Urban
S003,IT,6.72,"express , hive , LINUX , C++ , ROS",backend dev,BANGALORE,Tier 1,Urban
S004,BioTech,6.45,"K8s , ReactJS , tensorflow , K8s",mobile apps,Lucknow,Tier 2,urban
S005,chemical engg,7.67,"machine learning, Data analytics, K8s, Bash",game dev,nagpur,Tier-1,RURAL
S006,Electrical Engineering,6.05,"Hadoop,  Blockchain,  Bloomberg Terminal,  Gel Electrophoresis,  AMAZON WEB SERVICES,  POWERBI,  natural language processing",finance,hyderabad,TIER1,semi urban
S007,Information Technology,9.31,"ansys , graphql , Machine Learning , Google Cloud Platform",full-stack,Mumbai,tier4,urban
S008,Architecture,8.75,"GitLab,linux,tableau,Mongo,Python,Nodejs,hadoop,Machine Learning",blockchain,kolkata,Tier-1,Urban
S009,chemical engg,5.1,"SQL,Autocad,Autocad,PyTorch,CSS,PowerBI",Internet of Things,NOIDA,Tier-4,Semi-Urban
S010,AI,8.78,"powerbi,Azure,API,kubernetes,financial modeling,Apache Spark,NLP,gitlab",frontend,hyderabad,Tier1,urban
S011,Finance,6.14,"HTML,  ethereum,  MongoDB,  ethereum",IoT,vizag,tier3,Semi-Urban
S012,Artificial Intelligence,8.29,"hive, bash, GCP, C++, Google Cloud Platform",IoT,BANGALORE,Tier2,semi urban
S013,Data Science,6.39,"Matlab,  ReactJS,  html,  GitHub,  html",Network Security,Hyderabad,Tier3,Urban
S014,data science,9.93,"linux , data visualization , Dev Ops , Google Cloud Platform , kafka",Game Development,Delhi,Tier4,Urban
S015,Economics,5.25,"Robotics,  SQL,  Machine Learning,  CSS,  Ethereum,  blockchain",Cybersecurity,Gurugram,Tier-2,Urban
S016,Chemical Engg,8.29,"Hadoop, PyTorch, POWERBI, POWERBI, iot, Data Analysis, nlp, API",Full Stack Development,Hyderabad,TIER3,URBAN
S017,Data Science,9.4,"Data Visualization , Kubernetes , gitlab , Machine Learning",manufacturing,new delhi,TIER1,URBAN
S018,information technology,8.71,"Data analytics,  Natural Language Processing,  embedded systems,  Data Visualization",iot,surat,Tier-1,urban
S019,Biotechnology,6.38,"Django,  mongodb,  data engineering",full-stack,kochi,Tier-3,Urban
S020,information technology,9.42,"js , Kubernetes , matlab , project management",finance,vizag,Tier-1,RURAL
S021,AI,8.33,"Fintech , Microsoft Azure , devops , staad pro , AutoCAD , AutoCAD",NLP,Nagpur,tier4,rural
S022,Machine Learning,8.51,"LINUX,  NLP,  computer vision,  js,  postgresql,  Shell Scripting",Product Management,chennai,Tier 1,URBAN
S023,electronics,7.0,"JavaScript,  MongoDB,  ML,  Data Analysis,  ML,  Project Management,  NODE.JS,  data analysis",backend dev,BANGALORE,Tier 2,Urban
S024,Finance,7.6,"hadoop , Redis , FastAPI , DOCKER , API , FAST API , DL",competitive coding,Pune,tier4,Semi-Urban
S025,ECE,6.48,"dl,  K8s,  rest api,  Google Cloud",full-stack,Surat,Tier1,URBAN
S026,artificial intelligence,8.93,"GitHub, bash, api, Bloomberg Terminal, excel, natural language processing, Ethereum",gaming,lucknow,tier2,rural
S027,Artificial Intelligence,5.23,"HTML,circuit design,Data Engineering,gcp,linux,Aspen Plus",Manufacturing,Kochi,Tier1,urban
S028,electrical engg,9.02,"IoT,Bash,c++,django,PYTORCH,simulink,linux,express",databases,Jaipur,Tier 2,rural
S029,Biotechnology,8.89,"PyTorch,Apache Spark,gitlab,ansys,html,Statistical Analysis,Statistical Analysis",Research,Kochi,TIER1,rural
S030,COMPUTER SCIENCE,6.65,"nlp , aws , sql , Google Cloud , gcp , data engineering",DATA ENGINEERING,Visakhapatnam,Tier3,Semi-Urban
S031,Mechanical,7.73,"JavaScript,  Data analytics,  computer vision,  aws,  CYBERSECURITY,  GitLab,  MONGODB",frontend,Gurugram,tier4,Urban
S032,Information Technology,5.68,"Deep Learning, EXCEL, c++, natural language processing, K8s, Data Analysis",databases,mumbai,Tier-3,Urban
S033,electronics,5.34,"Spring,ANSYS,JS,NLP,JavaScript,java,Spring,PYTORCH,FINTECH",DevOps,new delhi,Tier4,Urban
S034,Electronics & Communication,9.54,"redis, VHDL, html, DL, AMAZON WEB SERVICES, Hadoop",Product Mgmt,Gurgaon,Tier-3,RURAL
S035,COMPUTER SCIENCE,6.71,"Ethical Hacking,  aspen plus,  LINUX,  jenkins,  nodejs,  docker",Computer Vision,nagpur,Tier4,URBAN
S036,ECE,9.15,"statistical analysis , Linux , pytorch",Web Development,Noida,TIER2,Rural
S037,CE,8.99,"Apache Kafka,  vhdl,  simulink,  Statistical Analysis,  vhdl,  statistical analysis",structural engineering,kochi,tier3,semi urban
