Student ID,Branch,CGPA,Skills,Interests,Location,College Tier,Region
S001,Biotechnology,8.71,"Computer Vision, FastAPI, Flask, Node JS",Web Development,Delhi,Tier-2,Rural
S002,Civil Engineering,7.81,"Apache Kafka, Computer Vision, Financial Modeling, GitHub, Google Cloud Platform, MATLAB, Project Management, Statistical Analysis",Product Management,Delhi,Tier-1,Urban
S003,IT,6.72,"Apache Hive, C++, Express.js, Linux, ROS",Backend Dev,Bangalore,Tier-1,Urban
S004,Biotechnology,6.45,"Kubernetes, React, TensorFlow",Mobile Apps,Lucknow,Tier-2,Urban
S005,Chemical Engineering,7.67,"Bash, Data Analysis, Kubernetes, Machine Learning",Game Dev,Nagpur,Tier-1,Rural
S006,Electrical Engineering,6.05,"AWS, Blockchain, Bloomberg Terminal, Gel Electrophoresis, Hadoop, NLP, Power BI",Finance,Hyderabad,Tier-1,Urban
S008,Architecture,8.75,"GitLab, Hadoop, Linux, Machine Learning, MongoDB, Node.js, Python, Tableau",Blockchain,Kolkata,Tier-1,Urban
S010,AI,8.78,"API, Apache Spark, Financial Modeling, GitLab, Kubernetes, Microsoft Azure, NLP, Power BI",Frontend,Hyderabad,Tier-1,Urban
S011,Finance,6.14,"Ethereum, HTML, MongoDB",IoT,Other City,Tier-3,Urban
S012,AI,8.29,"Apache Hive, Bash, C++, Google Cloud Platform",IoT,Bangalore,Tier-2,Urban
S013,Data Science,6.39,"GitHub, HTML, MATLAB, React",Network Security,Hyderabad,Tier-3,Urban
S015,Finance,5.25,"Blockchain, CSS, Ethereum, Machine Learning, Robotics, SQL",Cybersecurity,Gurgaon,Tier-2,Urban
S016,Chemical Engineering,8.29,"API, Data Analysis, Hadoop, IoT, NLP, Power BI, PyTorch",Full Stack Development,Hyderabad,Tier-3,Urban
S017,Data Science,9.4,"Data Visualization, GitLab, Kubernetes, Machine Learning",Manufacturing,Delhi,Tier-1,Urban
S018,IT,8.71,"Data Analysis, Data Visualization, Embedded Systems, NLP",IoT,Other City,Tier-1,Urban
S019,Biotechnology,6.38,"Data Engineering, Django, MongoDB",Full Stack,Other City,Tier-3,Urban
S020,IT,9.42,"JavaScript, Kubernetes, MATLAB, Project Management",Finance,Other City,Tier-1,Rural
S022,AI,8.51,"Computer Vision, JavaScript, Linux, NLP, PostgreSQL, Shell Scripting",Product Management,Chennai,Tier-1,Urban
S023,Electronics & Communication,7.0,"Data Analysis, JavaScript, Machine Learning, MongoDB, Node JS, Project Management",Backend Dev,Bangalore,Tier-2,Urban
S025,Electronics & Communication,6.48,"Deep Learning, Google Cloud Platform, Kubernetes, REST API",Full Stack,Other City,Tier-1,Urban
S026,AI,8.93,"API, Bash, Bloomberg Terminal, Ethereum, Excel, GitHub, NLP",Gaming,Lucknow,Tier-2,Rural
S027,AI,5.23,"Aspen Plus, Circuit Design, Data Engineering, Google Cloud Platform, HTML, Linux",Manufacturing,Other City,Tier-1,Urban
S028,Electrical Engineering,9.02,"Bash, C++, Django, Express.js, IoT, Linux, PyTorch, Simulink",Databases,Jaipur,Tier-2,Rural
S029,Biotechnology,8.89,"ANSYS, Apache Spark, GitLab, HTML, PyTorch, Statistical Analysis",Research,Other City,Tier-1,Rural
S030,Computer Science,6.65,"AWS, Data Engineering, Google Cloud Platform, NLP, SQL",Data Engineering,Visakhapatnam,Tier-3,Urban
S032,IT,5.68,"C++, Data Analysis, Deep Learning, Excel, Kubernetes, NLP",Databases,Mumbai,Tier-3,Urban
S034,Electronics & Communication,9.54,"AWS, Deep Learning, HTML, Hadoop, Redis, VHDL",Product Mgmt,Gurgaon,Tier-3,Rural
S036,Electronics & Communication,9.15,"Linux, PyTorch, Statistical Analysis",Web Development,Noida,Tier-2,Rural
S037,Civil Engineering,8.99,"Apache Kafka, Simulink, Statistical Analysis, VHDL",Structural Engineering,Other City,Tier-3,Urban
S038,Computer Science,6.11,"Cybersecurity, Kubernetes, Power BI, Project Management, PyTorch, REST API, Robotics, Simulink",Cybersecurity,Other City,Tier-2,Rural
S039,IT,9.75,"Apache Hive, Computer Vision, Cyber Security, Deep Learning, FastAPI, Project Management, Statistical Analysis",Data Science,Other City,Tier-3,Rural
S043,Electronics & Communication,5.3,"AI, ANSYS, CSS, Data Analysis, NLP, REST API, React",Web Development,Hyderabad,Tier-2,Urban
S044,Architecture,5.36,"ANSYS, Data Analysis, Project Management, REST API",Structural Engineering,Bangalore,Tier-2,Rural
S045,Computer Science,8.96,"AutoCAD, Bash, Data Visualization, Express.js, Fintech, GitLab, Redis",Computer Vision,Other City,Tier-2,Urban
S046,Computer Science,9.81,"AI, API, Data Analysis, Java, JavaScript, Project Management, SolidWorks",Structural Engineering,Nagpur,Tier-3,Urban
S047,Civil Engineering,6.67,"Apache Kafka, Data Visualization, Ethical Hacking, Google Cloud Platform, Machine Learning, MongoDB, Node JS, REST API",Competitive Coding,Nagpur,Tier-1,Urban
S048,Electrical Engineering,7.59,"AI, ANSYS, Blockchain, C++, Fintech, GitHub, NLP",DevOps,Gurgaon,Tier-1,Urban
S049,IT,9.21,"Bash, Express JS, Financial Modeling",NLP,Other City,Tier-3,Urban
S050,AI,5.72,"Django, Embedded Systems, Ethereum, Fintech",Data Science,Chennai,Tier-2,Urban
S051,Data Science,7.42,"AI, Kubernetes, Linux, MATLAB, Simulink",NLP,Mumbai,Tier-2,Urban
S052,Finance,6.91,"Blockchain, Ethical Hacking, Express.js, Financial Modeling, JavaScript, MongoDB, Spring Boot, VHDL",Manufacturing,Bangalore,Tier-1,Urban
S053,AI,8.46,"ANSYS, API, CSS, Excel, Hadoop, Kubernetes, MongoDB, Robotics",Machine Learning,Ahmedabad,Tier-1,Urban
S054,Electrical Engineering,6.5,"C++, Excel, SQL",Backend,Lucknow,Tier-1,Rural
S056,Biotechnology,8.45,"AWS, Cyber Security, Deep Learning, Node.js, Power BI, TensorFlow",Manufacturing,Ahmedabad,Tier-2,Urban
S057,Mechanical Engineering,8.89,"Blockchain, Circuit Design, FastAPI",Game Development,Indore,Tier-2,Urban
S058,Architecture,8.84,"ANSYS, Financial Modeling, Flask, GitLab, JavaScript, Power BI, React",Full Stack,Kolkata,Tier-3,Urban
S059,Data Science,9.12,"Bash, Fintech, HTML, MongoDB, Node JS, Tableau",IoT,Gurgaon,Tier-1,Urban
