Internship ID,Title,Company,Domain,Required Skills,Location,Stipend (INR),Description,Duration,Work Type
INT001,Finance Intern,LG Electronics,Financial Services,"Redis , tensorflow , vhdl , vhdl",bengaluru,18000,Analyze business requirements and create technical specifications.,18,wfh
INT002,Data Engineer Intern,Wipro,Software Development,"Microsoft Azure,  ai",hyderabad,15000,End-to-end development of features using MERN stack.,30,work from home
INT003,ML Intern,Infosys,Database Management,"redis , Ethical Hacking , STAAD.Pro , LINUX , EXCEL",Ahmedabad,12000,Optimize frontend performance and accessibility.,22,hybrid
INT004,Quality Analyst Intern,Qualcomm India,Fintech,"nodejs,iot",NOIDA,12000,Optimize frontend performance and accessibility.,4,in office
INT005,iOS Developer Intern,Qualcomm India,Digital Marketing,"DEEP LEARNING , Tableau",jaipur,5000,Development of scalable web applications and bug fixing.,22,
INT006,Machine Learning Intern,Sharechat,DevOps,"Financial Modeling,  Linux,  Linux,  Bash",ahmedabad,8000,Work on exciting data projects and build ML models.,8,Office
INT007,Business Analyst Intern,Hashedin,Business Analysis,"react, linux, Keras",New Delhi,5000,Collaborate with cross-functional teams on product features.,24,Onsite
INT008,AI Research Intern,Qualcomm India,Business Analysis,"circuit design,k8s,Machine Learning,Ethereum,hive",Remote,5000,Implement machine learning models in production.,28,remote
INT009,DevOps Engineer Intern,EY,Mobile Development,"Express.js,  ansys,  Django,  Deep Learning,  data visualization",surat,10000,Work on big data processing and analytics pipelines.,4,hybrid
INT010,Database Administrator Intern,Cognizant,Web Development,"GitHub, CSS, Microsoft Azure, linux, Cybersecurity, bloomberg",bengaluru,5000,Work with cutting-edge AI technologies and research.,14,remote
INT011,Computer Vision Intern,Zoho Corporation,Data Science,"c++,  embedded systems,  React,  MongoDB,  nodejs,  TABLEAU",coimbatore,12000,Research and implement new technologies and frameworks.,4,REMOTE
INT012,Full Stack Engineer Intern,KPMG,Cloud Computing,"AI,AI,Matlab,MySQL,Jenkins,mysql",Kochi,8000,Develop scalable web applications and RESTful APIs.,6,Hybrid
INT013,Marketing Intern,Qualcomm India,Analytics,"Hive,redis,Spark,data visualization,embedded systems",chandigarh,12000,Test software applications and report defects.,28,HYBRID
INT014,Database Administrator Intern,Cisco India,Design,"tensorflow,  spark,  circuit design,  circuit design",Indore,15000,Optimize frontend performance and accessibility.,10,N/A
INT015,Financial Analyst Intern,Bharti Airtel,Cybersecurity,"postgresql, mongodb",Indore,8000,Development of scalable web applications and bug fixing.,12,N/A
